2011-12 Open Courses: ISO/TS16949 and Core Tools
24-28 Jan 2011; Coventry; 775; Assessor; 5
07 Feb 2011; WM; 275; FMEA; 1
14-15 Mar 2011; WM; 425; Auditor; 2
9-13 May 2011; Warwickshire; 775; Assessor; 5
23 May 2011; WM; 275; SPC; 1
8-9 Jun 2011; Northamptonshire; 425; Auditor; 2
5 Jul 2011; WM; 275; MSA; 1
7 Sep 2011; WM; 275; APQP/PPAP; 1
19-20 Sep 2011; WM; 425; Auditor; 2
10-14 Oct 2011; Bristol; 775; Assessor; 5
31 Oct 2011; Host company; 275; Problem Solving; 1
5-6 Dec 2011; Host company; 425; Auditor; 2
